address,lat,lng,Walk Score,Bike Score,Transit Score
"okanagan-similkameen, bc, v2a 8v5",49.47882,-119.54966,17,13,-1
"lumby, bc, v0e",50.24734,-118.96646,0,51,-1
"kelowna, bc, v1w 5l5",49.78479,-119.52041,2,14,23
"peachland, bc",49.77387,-119.73592,32,60,-1
"kelowna, bc, v1w 0b3",49.8536,-119.47913,26,86,46
"penticton, bc, v2a 6y3",49.47077,-119.59357,21,55,-1
"kootenay boundary, bc",49.35637,-118.61706,0,10,-1
"lake country, bc, v4v 1y1",50.05293,-119.41083,43,21,-1
"north okanagan, bc, v1b 3m6",50.35722,-119.10514,0,2,-1
"kelowna, bc, v1w 4l8",49.79814,-119.50126,10,31,23
"kelowna, bc, v1x 5y7",49.8985,-119.398,62,79,51
"west kelowna, bc, v4t 2b4",49.82892,-119.63319,44,45,-1
"summerland, bc, v0h",49.60253,-119.68217,38,50,-1
"penticton, bc, v2a 3x8",49.48566,-119.55956,15,39,-1
"kelowna, bc, v1y 4z9",49.86546,-119.48295,63,91,47
"kelowna, bc, v1v 1z3",49.90136,-119.42458,6,25,37
"penticton, bc, v2a",49.50022,-119.59384,51,79,-1
"peachland, bc, v0h 1x5",49.78714,-119.72972,7,22,-1
"kelowna, bc, v1w 4p2",49.80976,-119.47641,10,41,25
"kelowna, bc, v1x 5n2",49.87582,-119.39305,25,44,37
"vernon, bc, v1t 3x1",50.26302,-119.25248,59,48,23
"kelowna, bc, v1x 4v2",49.89996,-119.37215,20,46,44
"kelowna, bc, v1v 2a2",49.96139,-119.40012,15,12,22
"kelowna, bc, v1w 4p4",49.81023,-119.47726,10,40,25
"vernon, bc, v1t 3j5",50.27374,-119.2651,79,62,37
"penticton, bc, v2a 4w8",49.49519,-119.5832,43,69,-1
"kelowna, bc, v1v 3c9",49.93632,-119.40024,29,29,49
"west kelowna, bc, v1z 2k5",49.85947,-119.56131,5,33,-1
"summerland, bc",49.60253,-119.68217,38,50,-1
"vernon, bc, v1t 3j2",50.27373,-119.26202,70,52,36
"central okanagan, bc, v1z 3r8",50.1175,-119.50986,0,4,-1
"kelowna, bc, v1x 8h3",49.91687,-119.38667,39,48,46
"kelowna, bc, v1p 1s5",49.87443,-119.35421,19,34,25
"peachland, bc, v0h 1x4",49.77594,-119.74119,2,25,-1
"kelowna, bc, v1w 2x3",49.82318,-119.49011,34,77,30
"north okanagan, bc, v1b 3h9",50.27823,-119.22423,7,22,-1
"penticton, bc, v2a 2n5",49.49029,-119.56484,15,23,-1
"penticton, bc, v2a 5m6",49.49548,-119.59385,51,72,-1
"peachland, bc, v0h 1x8",49.75801,-119.76796,1,2,-1
"kelowna, bc, v1v 0a3",49.9354,-119.40044,26,27,47
"penticton, bc, v2a 2e6",49.49189,-119.57957,38,65,-1
"summerland, bc, v0h 1z9",49.56966,-119.62389,0,34,-1
"kelowna, bc, v1v 0b7",49.94708,-119.45962,0,15,0
"north okanagan, bc",50.36559,-118.75582,0,44,-1
"west kelowna, bc, v4t 2s6",49.85215,-119.6497,0,3,-1
"west kelowna, bc, v4t 1a3",49.83457,-119.66961,7,4,-1
"kelowna, bc, v1w 1s8",49.82459,-119.48326,19,68,30
"west kelowna, bc, v4t 1n9",49.83494,-119.62583,43,49,-1
"okanagan-similkameen, bc, v0h 1r4",49.34757,-119.57141,29,44,-1
"vernon, bc, v1b 3w9",50.28198,-119.24242,5,12,25
"penticton, bc, v2a 6m6",49.48348,-119.55698,16,33,-1
"coldstream, bc",50.22844,-119.25979,26,33,-1
"penticton, bc, v2a 4z8",49.48952,-119.58362,40,73,-1
"okanagan-similkameen, bc, v0h",49.60253,-119.68217,38,50,-1
"vernon, bc, v1t 6y8",50.25764,-119.2851,52,27,36
"north okanagan, bc, v1h",50.22072,-119.39396,0,38,0
"spallumcheen, bc, v0e 1b5",50.38468,-119.30538,0,2,-1
"penticton, bc, v2a 1b8",49.50192,-119.59882,42,79,-1
"kelowna, bc, v1p 1s6",49.85526,-119.36268,5,3,22
"penticton, bc, v2a 6v9",49.46718,-119.59098,22,60,-1
"kelowna, bc, v1x 1s2",49.88493,-119.39056,79,78,49
"kelowna, bc, v1v 0e8",49.93328,-119.40162,22,27,45
"kelowna, bc, v1x 4e5",49.89041,-119.41252,65,77,52
"penticton, bc, v2a 6t6",49.47071,-119.58954,28,62,-1
"kelowna, bc, v1w 3w2",49.86035,-119.48082,62,85,49
"kelowna, bc, v1v 1r9",49.92741,-119.44095,40,67,37
"kelowna, bc, v1y 5r4",49.87843,-119.49761,54,97,56
"kelowna, bc, v1y 5y2",49.88012,-119.47635,56,96,57
"penticton, bc, v2a 6e8",49.46894,-119.58457,31,63,-1
"kelowna, bc, v1x 4z3",49.90442,-119.38689,54,59,48
"kelowna, bc, v1y 0h1",49.88566,-119.49359,66,96,59
"kelowna, bc, v1x 6b1",49.89458,-119.41103,61,84,49
"lake country, bc, v4v 2r5",50.02013,-119.40328,53,26,-1
"kelowna, bc, v1y 1a7",49.88179,-119.50015,50,99,58
"kelowna, bc, v1v 3a8",49.92272,-119.405,26,26,31
"kelowna, bc, v1v 1t3",49.92246,-119.44301,47,82,37
"west kelowna, bc, v4t 3k4",49.8703,-119.61425,0,3,-1
"north okanagan, bc, v1b 3n9",50.31232,-119.19053,0,2,-1
"kelowna, bc, v1x 3m5",49.8884,-119.39384,86,73,49
"vernon, bc, v1t 1l9",50.25906,-119.28475,62,28,37
"kelowna, bc, v1y 6a9",49.88209,-119.48137,58,94,59
"kelowna, bc, v1v 0a5",49.93465,-119.40117,24,29,47
"penticton, bc, v2a 2v1",49.48643,-119.59784,26,71,-1
"kelowna, bc, v1x 3l8",49.89968,-119.39345,62,75,51
"kelowna, bc, v1p 1a7",49.91221,-119.36354,3,35,26
"kelowna, bc, v1y 9z3",49.89561,-119.49732,38,98,39
"kelowna, bc, v1y 5p6",49.87716,-119.48506,50,93,56
"kelowna, bc, v1x 1r3",49.88577,-119.40131,48,69,49
"kelowna, bc, v1y 6w5",49.88934,-119.47917,43,96,55
"kelowna, bc, v1x 7c8",49.90111,-119.38571,64,77,49
"kelowna, bc, v1y 9p7",49.89463,-119.49608,45,99,40
"kelowna, bc, v1y 5l9",49.87537,-119.49322,53,92,54
"kelowna, bc, v1x 7p4",49.90622,-119.37623,27,41,46
"kelowna, bc, v1x 6r2",49.87785,-119.36474,18,23,25
"kelowna, bc, v1v 2b7",49.96699,-119.45702,0,17,0
"kelowna, bc, v1x 2a4",49.88895,-119.38231,80,88,49
"coldstream, bc, v1b 1p3",50.22214,-119.22891,3,10,-1
"kelowna, bc, v1y 6r3",49.88624,-119.47663,59,83,55
"kelowna, bc, v1v 2t7",49.90927,-119.4501,51,83,38
"kelowna, bc, v1w 1p8",49.82727,-119.47994,10,44,30
"kelowna, bc, v1y 0h4",49.88268,-119.48322,59,93,59
"kelowna, bc, v1x 5z2",49.89692,-119.39743,61,78,51
"kelowna, bc, v1y 8z2",49.8999,-119.46404,12,56,39
"lake country, bc, v4v",50.05353,-119.41109,43,21,-1
"kelowna, bc, v1x 7l2",49.87907,-119.36595,20,24,25
"kelowna, bc, v1y 9y2",49.8807,-119.4622,49,97,56
"kelowna, bc, v1v 2r6",49.95436,-119.39774,33,29,30
"kelowna, bc, v4v 2w4",50.00792,-119.39137,0,29,25
"kelowna, bc, v1y 9w1",49.89602,-119.4979,38,98,39
"kelowna, bc, v1w 1t5",49.8146,-119.483,18,67,28
"kelowna, bc, v1y 1v7",49.86549,-119.49129,72,93,47
"lake country, bc, v4v 2s4",50.07336,-119.41425,12,21,-1
"penticton, bc, v2a 3v5",49.45641,-119.58866,17,59,-1
"west kelowna, bc, v4t 1w1",49.83888,-119.68729,0,3,-1
"kelowna, bc, v1y 4p1",49.89766,-119.45449,29,77,38
"north okanagan, bc, v1b",50.22844,-119.25979,26,33,-1
"vernon, bc, v1h 1p3",50.25221,-119.34877,0,13,20
"kelowna, bc, v1v 2x3",49.94419,-119.4374,13,28,19
"west kelowna, bc, v4t 1w3",49.84387,-119.67881,4,4,-1
"west kelowna, bc, v1z 3j7",49.86293,-119.53512,0,23,-1
"kelowna, bc, v1x 2z3",49.88776,-119.38686,88,85,49
"kelowna, bc, v1v 0a4",49.92674,-119.40158,22,13,34
"kelowna, bc, v1y 0j1",49.8935,-119.49063,53,99,56
"lake country, bc, v4v 1s8",50.00796,-119.40302,15,29,-1
"penticton, bc, v2a 3b1",49.48571,-119.5665,15,37,-1
"vernon, bc, v1t 4r4",50.2663,-119.2642,88,49,40
"kelowna, bc, v1p 1g2",49.86394,-119.35252,34,14,25
"kelowna, bc, v1p 1g5",49.86004,-119.35079,17,3,24
"kelowna, bc, v1x 3s6",49.89354,-119.39848,72,87,48
"kelowna, bc, v1y 7c9",49.89349,-119.48555,46,97,54
"kelowna, bc, v1w 5k5",49.80233,-119.46825,5,8,25
"kelowna, bc, v1w 5n4",49.86089,-119.46708,38,75,45
"kelowna, bc, v1x 5x8",49.89336,-119.40229,66,86,47
"lake country, bc, v4v 1c1",50.13259,-119.45276,8,2,-1
"kelowna, bc, v1y 1g7",49.86454,-119.49477,71,89,46
"kelowna, bc, v1x 3x6",49.88788,-119.40257,76,77,49
"kelowna, bc, v1x 1g3",49.87945,-119.39699,45,71,39
"west kelowna, bc, v4t 2k1",49.81951,-119.62177,3,16,-1
"west kelowna, bc, v4t 3j3",49.84594,-119.61077,8,14,-1
"central okanagan, bc",49.95449,-119.45097,0,16,0
"kelowna, bc, v1x 7p6",49.90083,-119.37953,47,75,48
"kelowna, bc, v1y 5j1",49.87174,-119.48978,56,99,46
"kelowna, bc, v1w 1j4",49.81332,-119.47736,11,63,26
"kelowna, bc, v1w 3b4",49.80852,-119.45878,5,29,24
"kelowna, bc, v1y 5j3",49.87177,-119.48417,53,94,46
"lake country, bc, v4v 1t9",50.0316,-119.40228,52,35,-1
"okanagan-similkameen, bc",49.39276,-120.14867,0,5,-1
"west kelowna, bc, v4t 1v1",49.8507,-119.60125,2,12,-1
"kelowna, bc, v1w 3w1",49.8605,-119.48082,62,85,49
"kelowna, bc, v1y 5e6",49.86903,-119.48802,65,98,47
"kelowna, bc, v1x 7b9",49.88622,-119.37972,62,63,47
"west kelowna, bc, v4t 2z7",49.86519,-119.60351,0,4,-1
"west kelowna, bc, v4t 1m4",49.84871,-119.65491,2,16,-1
"kelowna, bc, v1y 5c8",49.86829,-119.48542,61,96,47
"kelowna, bc, v1y 5c6",49.86831,-119.48965,64,97,47
"vernon, bc, v1h 2j6",50.23826,-119.34485,4,15,20
"penticton, bc, v2a 4r2",49.48782,-119.57471,46,55,-1
"coldstream, bc, v1b 1c9",50.21997,-119.23702,12,10,-1
"central okanagan, bc, v1x",49.91081,-119.38279,19,40,50
"west kelowna, bc, v1z 3m6",49.89625,-119.54979,0,5,-1
"lake country, bc, v4v 2n8",50.06948,-119.42031,12,11,-1
"kelowna, bc, v1p 1v2",49.8817,-119.35142,8,22,20
"west kelowna, bc, v1z 3z1",49.8784,-119.56807,2,12,-1
"penticton, bc, v2a 7v8",49.47139,-119.56962,12,32,-1
"west kelowna, bc, v1z 3x9",49.87866,-119.56137,1,11,-1
"west kelowna, bc, v4t 3k1",49.83869,-119.62077,26,46,-1
"kootenay boundary, bc, v0h",49.35637,-118.61706,0,10,-1
"west kelowna, bc, v1z 1k5",49.86032,-119.55661,3,26,-1
"west kelowna, bc, v4t 1r2",49.83686,-119.63409,18,33,-1
"central okanagan, bc, v1z",49.85902,-119.58413,6,23,-1
"kelowna, bc, v1w 5e9",49.85113,-119.4773,29,86,44
"kelowna, bc, v1v 1b4",49.90795,-119.46475,6,39,33
"kelowna, bc, v1v 0a8",49.9305,-119.40328,14,21,38
"kelowna, bc, v1y 0b5",49.8806,-119.46122,49,97,56
"penticton, bc, v2a 4y7",49.4853,-119.57954,36,65,-1
"kelowna, bc, v1y 4b7",49.88007,-119.46379,54,99,56
"kelowna, bc, v1x 6c2",49.89275,-119.41394,60,83,50
"kelowna, bc, v1w 3g7",49.84575,-119.48599,30,88,42
"vernon, bc, v1h 1l4",50.23534,-119.35784,0,18,13
"penticton, bc, v2a 3y4",49.49065,-119.56447,15,23,-1
"kelowna, bc, v1v 1y4",49.91424,-119.44933,65,89,38
"kelowna, bc, v1w 5m4",49.78642,-119.51244,1,12,-1
"west kelowna, bc, v4t 2t3",49.86503,-119.60341,0,4,-1
"west kelowna, bc, v4t 3n1",49.81229,-119.62523,0,29,-1
"kelowna, bc, v1x 7e9",49.89015,-119.3761,59,58,46
"kelowna, bc, v1x 1a3",49.87591,-119.40275,24,68,35
"kelowna, bc, v1w 4t6",49.79182,-119.52596,2,26,23
"kelowna, bc, v1y 7s7",49.86211,-119.48666,77,96,48
"kelowna, bc, v1y 6x3",49.89026,-119.48529,50,99,57
"penticton, bc, v2a 1p1",49.49793,-119.6008,43,76,-1
"kelowna, bc, v1y 1m6",49.86704,-119.49242,65,94,46
"kelowna, bc, v1w 4x1",49.80683,-119.47255,6,27,25
"penticton, bc, v2a 1t6",49.49664,-119.59361,52,74,-1
"west kelowna, bc, v4t 3e7",49.85429,-119.60647,8,11,-1
"kelowna, bc, v1y 0c4",49.86311,-119.49129,75,94,47
"vernon, bc, v1t 4x8",50.27081,-119.26659,86,59,39
"kelowna, bc, v1v 1z9",49.96666,-119.40128,13,14,23
"kelowna, bc, v1v 0b3",49.93463,-119.4012,24,29,47
"kelowna, bc, v1y 4m2",49.89108,-119.45823,30,85,49
"kelowna, bc, v4v 1e5",50.01318,-119.39186,19,33,-1
"central okanagan, bc, v1z 3s8",49.99018,-119.49469,0,4,-1
"west kelowna, bc, v4t 3m4",49.8661,-119.6119,1,3,-1
"kelowna, bc, v1y 3j6",49.86604,-119.47709,55,83,48
"kelowna, bc, v1y 5z7",49.88249,-119.49589,64,98,60
"west kelowna, bc, v4t 2r6",49.83942,-119.66865,12,21,-1
"kelowna, bc, v1y 8k1",49.90179,-119.48468,43,60,36
"kelowna, bc, v1w 1a1",49.84209,-119.49018,30,88,43
"west kelowna, bc, v4t 1p4",49.83218,-119.62653,45,49,-1
"west kelowna, bc, v1z 3b6",49.87457,-119.53706,14,-1,-1
"kelowna, bc, v1v 2b5",49.96933,-119.42406,0,19,0
"kelowna, bc, v1y 2g9",49.87785,-119.48938,57,96,58
"kelowna, bc, v1x 6r1",49.87787,-119.36486,20,27,25
"penticton, bc, v2a 7v6",49.47228,-119.56948,35,31,-1
"kelowna, bc, v1y 6l8",49.88528,-119.49316,66,96,59
"penticton, bc, v2a 5t3",49.49314,-119.59817,37,69,-1
"kelowna, bc, v1y 0j6",49.89326,-119.4936,55,99,57
"west kelowna, bc, v1z 4a9",49.88273,-119.5609,0,9,-1
"kelowna, bc, v1y 9j9",49.89466,-119.47106,14,66,40
"vernon, bc, v1t 1p1",50.26077,-119.27517,94,54,41
"kelowna, bc, v1w 3r4",49.85967,-119.48865,75,99,48
"kelowna, bc, v1y 5x4",49.87978,-119.48556,56,94,59
"vernon, bc, v1b 2y4",50.30374,-119.21585,1,1,0
"kelowna, bc, v1x 3s4",49.88742,-119.39822,69,73,49
"kelowna, bc, v1v 1a5",49.91782,-119.46863,9,32,0
"kelowna, bc, v1x 6w6",49.88622,-119.37674,50,49,45
