name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
2 beds 1 bath house,1900,"west kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,dog friendly,977,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2100,"west kelowna, bc",House,2,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,cat friendly,1200,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,1600,"west kelowna, bc",House,1,1,in-unit laundry,gas heating,street parking,central ac,Not specified,No pets,1200,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,1550,"west kelowna, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
4 beds 2 baths house,4500,"west kelowna, bc",House,4,2,in-unit laundry,gas heating,parking available,Not specified,Not specified,No pets,1200,49.85902,-119.58413,6,23,-1
3 beds 2 baths house,3000,"west kelowna, bc",House,3,2,in-unit laundry,gas heating,street parking,ac available,Not specified,dog and cat friendly,1400,49.85902,-119.58413,6,23,-1
2 beds 2 baths house,2150,"west kelowna, bc",House,2,2,in-unit laundry,heating available,parking available,ac available,unfurnished,dog and cat friendly,900,49.85902,-119.58413,6,23,-1
1 bed 1 bath apartment,1500,"west kelowna, bc",Apartment/Condo,1,1,laundry in building,Not specified,street parking,Not specified,unfurnished,No pets,910,49.85902,-119.58413,6,23,-1
private room for rent,1200,"west kelowna, bc",Room,1,1,laundry available,gas heating,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bath room only,850,"west kelowna, bc",Room,1,1,laundry available,Not specified,street parking,central ac,unfurnished,dog and cat friendly,150,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2000,"west kelowna, bc",House,2,1,laundry available,central heating,street parking,central ac,Not specified,dog friendly,1000,49.85902,-119.58413,6,23,-1
4 beds 3 baths house,3800,"west kelowna, bc",House,4,3,in-unit laundry,heating available,garage parking,ac available,Not specified,dog friendly,2500,49.85902,-119.58413,6,23,-1
1 bed 1 bath room only,900,"west kelowna, bc",Room,1,1,Not specified,Not specified,parking available,Not specified,furnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bath room only,1000,"west kelowna, bc",Room,1,1,in-unit laundry,gas heating,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
3 bedroom furnished upper floors for short term rental,3200,"west kelowna, bc",House,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200,49.85902,-119.58413,6,23,-1
3 beds 3 baths house,3500,"west kelowna, bc",House,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,2600,49.85902,-119.58413,6,23,-1
private room for rent,1100,"west kelowna, bc",Room,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bathroom house,900,"west kelowna, bc",House,1,1,in-unit laundry,heating available,parking available,Not specified,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,1200,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
2 beds 2 baths apartment,2500,"west kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,cat friendly,1040,49.85902,-119.58413,6,23,-1
